route_id,src,dst,sp_dist_m,sp_time_s,sp_emis_g,fp_dist_m,fp_time_s,fp_emis_g,ca_dist_m,ca_time_s,ca_emis_g
61,6137935141,1500736131,1701.57069292629,215.83806252154636,338.4864671378593,1702.3660937516818,212.1624470195838,337.6231531263013,1702.3660937516818,212.1624470195838,337.6231531263013
62,1842455529,448305147,616.498407431363,90.74017311901484,126.13029535353701,734.1395878847526,89.68249307160379,144.8907016471008,616.498407431363,90.74017311901484,126.13029535353701
63,1563301999,3530536229,1981.0369523850334,263.76313737330304,397.3494099826659,1990.6321672468455,252.75926741353504,396.06540311423254,1990.6321672468455,252.75926741353504,396.06540311423254
64,491866474,3887138916,488.13561759123684,70.29152893313811,99.36610665591616,488.13561759123684,70.29152893313811,99.36610665591616,488.13561759123684,70.29152893313811,99.36610665591616
65,253179989,1500723973,595.1314584179734,71.54745915921606,117.35061027020839,595.1314584179734,71.54745915921606,117.35061027020839,595.1314584179734,71.54745915921606,117.35061027020839
66,4474675122,736207552,1499.959433491755,185.25164278176382,296.7842102001073,2057.2370758815405,160.78015371254097,383.6213887515167,1505.1803905950333,184.51275318335044,297.56994260127846
67,4474692831,423744900,1018.6282613283497,112.453051555164,197.9883407184346,1018.6282613283497,112.453051555164,197.9883407184346,1018.6282613283497,112.453051555164,197.9883407184346
68,12239510691,1563309904,810.5214785640055,81.73793657059191,155.38001680367333,810.5214785640055,81.73793657059191,155.38001680367333,814.6403450560676,86.20343925858475,157.48701858881597
69,4474692831,11497593344,1305.8817579343943,121.09407126359777,247.86983427261293,1305.8817579343943,121.09407126359777,247.86983427261293,1305.8817579343943,121.09407126359777,247.86983427261293
70,1328155427,491866469,496.26507620073113,71.46217097290528,101.02095957411133,569.4279503657624,71.4212728818826,113.0772910708329,510.59868769015947,73.52621102738294,103.93874536292806
71,3352035440,491866519,2689.5652010600493,316.2966773989813,528.3150378400185,2708.249997833935,252.09749407945588,515.3919396217841,2708.249997833935,252.09749407945588,515.3919396217841
72,6197065811,5573418680,1720.2875491886293,152.4547202828024,324.6327302201554,1720.2875491886293,152.4547202828024,324.6327302201554,1720.2875491886293,152.4547202828024,324.6327302201554
73,253179982,11494414329,878.2355537023624,111.35007969950597,174.86668476893425,1138.7935170817848,82.34220680749685,209.90997391672096,883.7758187146982,107.68338130694008,174.70783186130504
74,1842455497,4386562996,1426.5619309657814,139.90374817737245,272.81982427582835,1485.2420966826073,130.73256725712963,280.0384058931614,1431.624153455896,137.1690412804198,272.92124644574443
75,421264364,448305147,1008.702519374764,123.06416652858223,199.38227062386466,1146.1284334402858,81.995220755806,211.94114707484496,1146.1284334402858,81.995220755806,211.94114707484496
76,2268586322,1563314096,678.3179962182508,86.1643940001745,134.7620099218928,678.3179962182508,86.1643940001745,134.7620099218928,682.4368627103131,90.62989668816734,136.86901170703547
77,1462139769,421264396,992.0255448959892,112.41389317700649,193.60957138495385,1083.701915378703,104.03371318641783,206.98908999272155,992.0255448959892,112.41389317700649,193.60957138495385
78,1500356589,7488252818,1463.126566695729,136.09631218311222,277.8294384976594,1463.126566695729,136.09631218311222,277.8294384976594,1463.126566695729,136.09631218311222,277.8294384976594
79,423744842,423744889,620.6997307953507,89.3807612345305,126.35118895002856,620.6997307953507,89.3807612345305,126.35118895002856,621.2894300834741,89.46567793202027,126.47122961136719
80,4333461584,423744833,1312.3400290295353,181.919448085114,265.10928022912844,1757.362696527151,133.1685902379038,326.3208703636041,1322.181897061308,147.32637878433403,257.5472425884595
81,6133955228,448306748,1079.2779706338122,141.25856992333235,215.90307877647484,1195.9471693492953,125.42934670100738,230.4647824200826,1079.5073896661675,134.65699742985709,214.1701842895095
82,448306749,4202336814,511.227646163664,73.61678104756763,104.06677772219086,511.227646163664,73.61678104756763,104.06677772219086,515.0598059783601,74.16861206088386,104.84686175446993
83,6426357732,736207324,2268.0890642321865,244.36324911209584,439.3330480766702,2824.2646160107556,225.0961523292792,527.4914960120512,2272.207930724249,248.8287518000887,441.4400498618129
84,1500723974,5469373781,1597.1839231815215,151.29209760378143,304.25928402542,1597.1839231815215,151.29209760378143,304.25928402542,1597.1839231815215,151.29209760378143,304.25928402542
85,11497593343,3530536223,1846.3796366482338,244.37248390720393,369.9382301479937,1870.9749394110138,235.5286266051753,371.70767867290107,1870.9749394110138,235.5286266051753,371.70767867290107
